field1,field2,field3,field4,field5,_CLEANADDR,FID_국토교통부_전국버스정류장위치정보_20231016_XYTableToPoint,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
코레일,1호선,녹천,,서울 도봉구 덕릉로 376,서울 도봉구 덕릉로 376,,,녹천역,,,2023-10-16,10105,11,서울특별시,서울
코레일,1호선,광운대,,서울 노원구 석계로 98-2,서울 노원구 석계로 98-2,,,광운대역,,,2023-10-16,11279,11,서울특별시,서울
코레일,1호선,신이문,,서울 동대문구 한천로 472,서울 동대문구 한천로 472,,,신이문역,,,2023-10-16,6253,11,서울특별시,서울
코레일,1호선,외대앞,,서울 동대문구 휘경로 27,서울 동대문구 휘경로 27,,,외대앞역,,,2023-10-16,6539,11,서울특별시,서울
코레일,1호선,제물포,,인천 미추홀구 경인로 129,인천 미추홀구 경인로 129,,GGB163000355,제물포역,37.4663833,126.6572833,2023-10-16,37355,23,인천광역시,경기
코레일,1호선,명학,,경기 안양시 만안구 만안로 20,경기 안양시 만안구 만안로 20,,GGB208000119,명학역,37.3846667,126.9349833,2023-10-16,9199,31040,경기도 안양시,경기
코레일,1호선,두정,,충남 천안시 서북구 두정로 289,충남 천안시 서북구 두정로 289,,CAB285001034,두정역,36.83304298,127.1473341,2023-10-16,1034,34010,충청남도 천안시,천안
코레일,1호선,천안,,충남 천안시 동남구 대흥로 239,충남 천안시 동남구 대흥로 239,,CAB285000655,천안역 동부광장,36.8083388,127.147642,2023-10-16,655,34010,충청남도 천안시,천안
코레일,1호선,봉명,,충남 천안시 동남구 차돌로 51,충남 천안시 동남구 차돌로 51,,CAB285000835,다가동신성아파트,36.79883462,127.1362324,2023-10-16,835,34010,충청남도 천안시,천안
코레일,1호선,아산,,충남 아산시 배방읍 희망로 90,충남 아산시 배방읍 희망로 90,,ASB288002218,아산역,36.79157807,127.102884,2023-10-16,2218,34040,충청남도 아산시,아산
코레일,1호선,온양온천,,충남 아산시 온천대로 1496,충남 아산시 온천대로 1496,,ASB288000729,온양온천역,36.7815958,127.0027436,2023-10-16,729,34040,충청남도 아산시,아산
